gid,population_c,building_c,geometry,학교,교통_소,주택,대형마트,백화점,교통_대,동일업체,경쟁업체
다바8516,16173.0,632.0,"POLYGON ((127.33284624543423 36.34127620777741, 127.33282697589061 36.350291591665275, 127.34397180552587 36.35030666313003, 127.34398979045085 36.341291274305455, 127.33284624543423 36.34127620777741))",6,0,5,0,0,0,0,1
라바0120,31.0,21.0,"POLYGON ((127.51114874695695 36.37745419030462, 127.51115003388855 36.38646955778715, 127.52230006720501 36.386467996617405, 127.5222974933421 36.37745262964602, 127.51114874695695 36.37745419030462))",0,0,0,0,0,0,0,0
다바9614,14729.0,1305.0,"POLYGON ((127.4554358562381 36.323353911124364, 127.45543072222192 36.332369357852606, 127.46657303966968 36.332372993428855, 127.46657689018274 36.32335754550954, 127.4554358562381 36.323353911124364))",4,0,5,0,0,0,0,1
다바8728,0.0,3.0,"POLYGON ((127.35493244914991 36.44948912237162, 127.35491565954514 36.458504352040066, 127.36607596471863 36.458517395845966, 127.36609146282849 36.4495021619101, 127.35493244914991 36.44948912237162))",0,0,3,0,0,0,0,0
다바9716,79.0,41.0,"POLYGON ((127.46656918744513 36.34138842771814, 127.46656533350833 36.35040384837606, 127.47771022138718 36.350406446918804, 127.47771279067884 36.34139102540969, 127.46656918744513 36.34138842771814))",0,0,0,0,0,0,0,0
다바9222,843.0,205.0,"POLYGON ((127.41078947693754 36.39545211635698, 127.41077917235165 36.40446744582381, 127.4219317657875 36.40447525677454, 127.4219407823047 36.39545992475076, 127.41078947693754 36.39545211635698))",0,0,1,0,0,0,0,0
다바8810,175.0,45.0,"POLYGON ((127.36636925422627 36.287225617797, 127.3663538795968 36.296241097273246, 127.37749103228491 36.29625302705045, 127.37750512570621 36.2872375436642, 127.36636925422627 36.287225617797))",0,0,0,0,0,0,0,0
다바8321,11141.0,392.0,"POLYGON ((127.31044989069498 36.38631968606801, 127.31042800334592 36.395334990830605, 127.3215792469028 36.39535216919653, 127.32159984678371 36.38633685880994, 127.31044989069498 36.38631968606801))",3,1,6,0,0,0,0,3
다바9226,2846.0,476.0,"POLYGON ((127.41074823110172 36.43151335236334, 127.41073790818068 36.44052862725187, 127.42189565961957 36.44053644843628, 127.42190469218008 36.43152117098846, 127.41074823110172 36.43151335236334))",1,0,1,0,0,0,0,0
다바8609,146.0,72.0,"POLYGON ((127.34411546139427 36.27818317072723, 127.3440975323267 36.28719865499412, 127.35523338957672 36.287212654906284, 127.35525003801173 36.27819716605042, 127.34411546139427 36.27818317072723))",0,0,1,0,0,0,0,0
