content,cleaned_content,label,지점명
굿,굿,1,가수원DT점
더블쿼터파운드치즈 아주 굿,더블 쿼터 파운드 치즈 아주 굿,1,가수원DT점
항상 맛나요,항상 맛 나 요,1,가수원DT점
조아요,좋다,1,가수원DT점
"4:00 드라이브스루로 맥모닝 먹으러감 포스기바꿔야하는 이유때문에 30분 주차장에서 기달림 이때까진 괜찮았음.  4:30 주문하로감 1
0분뒤에다시오라해서 주차장에서 대기.  4:34분쯤  홀에 손님들어가고 , 주문즉시 36분에 홀손님 제품이 나옴  4:36 드라이브스루로 제
품주문하로 들어가면서 여쭤봄  10분뒤 오라해서 마냥 기다리고있었는데, 더 늦게온 홀주문이 먼저면 저도 홀에서 주문했다라고...",드라이브스루 로 맥 모닝 먹다 감 포스 기바 꾸다 야하다 이유 때문 에 분 주차장 에서 기 달림 이 때 까진 괜찮다 주문 하 로 감 분뒤 에다 시오 라 하다 주차장 에서 대기 분 쯤 홀 에 손님 들어가다 주문 즉시 분 에 홀 손님 제품 이 나오다 드라이브스루 로 제 품 주문 하 로 들어가다 여쭈다 봄 분뒤 오라 하다 마냥 기다리다 더 늦다 온 홀 주문 이 먼저 면 저 도 홀 에서 주문 하다,0,가수원DT점
좋아요,좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
굿,굿,1,가수원DT점
대파버거굿,대파 버거 굿,1,가수원DT점
굿,굿,1,가수원DT점
조아요,좋다,1,가수원DT점
굿,굿,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
드라이브뜨루하기 편해요,드라이브 뜨다 루하 기 편하다,1,가수원DT점
명절엔 맥도날드!,명절 엔 맥도날드,1,가수원DT점
굿,굿,1,가수원DT점
굿,굿,1,가수원DT점
Good,,1,가수원DT점
ㅡ,,0,가수원DT점
좋아요,좋다,1,가수원DT점
아이스크림맛있러요,아이스크림 맛있다 요,1,가수원DT점
라떼 맛있어요,라떼 맛있다,1,가수원DT점
솔직히 맥날 가수원점은 햄버거를 넘 맛있게 만드는것같아요 세종사는데 세종엔 맥날 없어서 먹으러 여기까지 오네요ㅠㅠ리뷰 쓰는 지금 또 먹고싶어요,솔직하다 맥날 가수 원점 은 햄버거 를 넘다 맛있다 만들다 같다 세종 살다 세종 엔 맥날 없다 먹다 여기 까지 오다 리뷰 쓰다 지금 또 먹다,1,가수원DT점
좋아요,좋다,1,가수원DT점
굿,굿,1,가수원DT점
맛있어요 ㅎㅎ,맛있다,1,가수원DT점
조아요,좋다,1,가수원DT점
굿,굿,1,가수원DT점
추천합니다,추천 하다,1,가수원DT점
친절하고 맛도 좋아요,친절하다 맛 도 좋다,1,가수원DT점
"윷놀이 꼭 선택하세요
",윷놀이 꼭 선택 하다,1,가수원DT점
굿~~,굿,1,가수원DT점
맛있음,맛있다,1,가수원DT점
대파버거 존맛 가격은 비싸유,대파 버거 존맛 가격 은 비싸다 유,1,가수원DT점
좋어요,좋다,1,가수원DT점
ㅇ,,1,가수원DT점
"천안손님 운행후 아침식사 합니다 https://m.blog.naver.com/janggeoritaxi9823 365일24시운행 예약상담환영 시외장거리전문  010 740
9 7943 010 7416 7943 042 489 0855",천안 손님 운행 후 아침식사 하다 일 시 운행 예약 상담 환영 시외 장거리 전문,0,가수원DT점
굿,굿,1,가수원DT점
맛있어요!!,맛있다,1,가수원DT점
맛나요,맛 나 요,1,가수원DT점
굿,굿,1,가수원DT점
👍🏻,,1,가수원DT점
친절해요 ,친절하다,1,가수원DT점
맥모닝,맥 모닝,1,가수원DT점
"드라이브스루로 두번째 맥모닝 주문해봤어요!
맥모닝은 따뜻한 아메와 먹으니 아침이 든든하네요! 가수원점은 찾는 손님도 많고
패스트푸드 답게 빨리 나와 편리해요!",드라이브스루 로 두번째 맥 모닝 주문 해봤다 맥 모닝 은 따뜻하다 아메 와 먹다 아침 이 든든하다 가수 원점 은 찾다 손님 도 많다 패스트푸드 답 게 빨리 나오다 편리하다,1,가수원DT점
"이른아침에 커피를 마실수 있는 곳~
",이르다 아침 에 커피 를 말다 있다 곳,1,가수원DT점
"역시..
맥다널~👍😁",역시 맥 다 널,0,가수원DT점
좋어요,좋다,1,가수원DT점
주차도 편하고 특히 감튀가 끝장나요^^,주차 도 편하다 특히 감 튀다 끝장 나 요,1,가수원DT점
굿,굿,1,가수원DT점
"한끼식사로 충분
저렴하게 잘먹었어요",한 끼 식사 로 충분 저렴하다 잘 먹다,0,가수원DT점
굿,굿,1,가수원DT점
칠러가 이제 없네요 ㅠ,치르다 이제 없다,1,가수원DT점
아이스크림이 예술ㅋㅋ맛나요ㅋㅋ,아이스크림 이 예술 맛 나 요,1,가수원DT점
DT 같이 운영해서 편해요 매장 옆에 결혼식장 생겨서 그런가 주말에 사람이 많더라구요 1층은 혼잡해도 2층 있어서 매장도 넓게 있어서 좋습니다,같이 운영 하다 편하다 매장 옆 에 결혼식장 생기다 그 런가 주말 에 사람 이 많다 층 은 혼잡하다 층 있다 매장 도 넓다 있다 좋다,1,가수원DT점
아이들 좋아함,아이 들 좋아하다,1,가수원DT점
좋아요,좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
굿,굿,1,가수원DT점
대리기사님도 커피 사드리고 아이스커피는 가수원점이 맛있어요😍,대리 기사 님 도 커피 사드 리 고 아이스커피 는 가수 원점 이 맛있다,1,가수원DT점
술마시구 해장감튀 존맛,술 말다 해장 감 튀다 존맛,1,가수원DT점
넓고 좋음,넓다 좋다,1,가수원DT점
맛있어요~~!,맛있다,1,가수원DT점
저녁 후식으로 아이스크림콘 ㅋㅋㅋㅋ,저녁 후식 으로 아이스크림 콘,1,가수원DT점
아침으로 딱입니다. ,아침 으로 딱이다,1,가수원DT점
편하고좋네요,편하다 좋다,1,가수원DT점
굿,굿,1,가수원DT점
굿모닝 맥모닝,굿모닝 맥 모닝,1,가수원DT점
맥도날드 ㅎ,맥도날드,1,가수원DT점
친절해요..,친절하다,1,가수원DT점
굿,굿,1,가수원DT점
굿,굿,1,가수원DT점
굿,굿,1,가수원DT점
좋아요,좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
나쁘지않아요,나쁘다 않다,1,가수원DT점
런치할인 좋아요,런치할 인 좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
아침으로 좋아요,아침 으로 좋다,1,가수원DT점
맛있어요~,맛있다,1,가수원DT점
좋아요,좋다,1,가수원DT점
굳,굳다,1,가수원DT점
굿,굿,1,가수원DT점
.,,0,가수원DT점
맛있어요 ,맛있다,1,가수원DT점
좋아요,좋다,1,가수원DT점
!,,0,가수원DT점
좋아용,좋다,1,가수원DT점
"간단한끼 좋아요 
콜라만 리필되면 더 좋을듯",간단하다 끼 좋다 콜라 만 리 피다 면 더 좋다,1,가수원DT점
조아요 ,좋다,1,가수원DT점
ㄱ,,1,가수원DT점
자주 버거를 잘 못 주시는듯요.,자주 버거 를 자다 못 주시 는 듯 요,1,가수원DT점
DT이용이라서 맥날리뷰는 안썼는데 오늘은 리뷰쓴이유가 소프트콘을 시켰는데 너무 일찍 뽑아두신건지 아니면 기계에서 만들어지는 동안 덜 얼어서?굳어서? 뽑은건지는 모르겠는데 제 순서에 받을때 넘 녹아있고 한쪽이 흐르더라구요 먹을때 불편했어요 좀 개선해주세요 ,이용 이라서 맥날 리뷰 는 안 써다 오늘 은 리뷰 쓸다 이유 가 소프트 콘 을 시키다 너무 일찍 뽑다 두 신건 지 아니다 기계 에서 만들어지다 동안 덜 얼다 굳다 뽑다 건지다 모르다 제 순서 에 받다 때 넘다 녹다 한쪽 이 흐르다 먹다 때 불편하다 좀 개선 해주다,1,가수원DT점
마늘맛이 버거와 어우러져서 맛있어요~~,마늘 맛 이 버거 와 어우러지다 맛있다,1,가수원DT점
"주차장이 넓어서
아이들과 함께가기 좋아요 
",주차장 이 넓다 아이 들 과 함께 가기 좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
아침이 시작되는 곳,아침 이 시작 되다 곳,1,가수원DT점
좋아요 ,좋다,1,가수원DT점
어유 햄버거 오랜만에 먹는데 가격 많이 올랐네요 전엔 그래도 한끼 식사 값보다 저렴했던거같은데 이젠 비슷하네요 ㅠ 배불리잘먹긴했어요 ㅋㅋㅋ,어유 햄버거 오랜 만 에 먹다 가격 많이 오르다 전 엔 그래도 한 끼 식사 값 보다 저렴하다 같다 이 젠 비슷하다 배 불리다 먹다 하다,1,가수원DT점
좋아요 ,좋다,1,가수원DT점
아이랑함께하기좋은맥모닝!,아이 랑 함께 하다 좋다 은맥 모닝,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
아이스크림이 제일 맛있는집 입니다. ,아이스크림 이 제일 맛있다 집 이다,1,가수원DT점
맛있음,맛있다,1,가수원DT점
사람많음,사람 많다,1,가수원DT점
굿,굿,1,가수원DT점
좋아요 ,좋다,1,가수원DT점
매장에서 먹으니까 엄청 고소~~^^,매장 에서 먹다 엄청 고소,1,가수원DT점
친절해요 ,친절하다,1,가수원DT점
야무지게 맥드라이브,야무지다 맥 드라이브,1,가수원DT점
가성비가 좋아요,가성 비 가 좋다,1,가수원DT점
주차하기 좋은 맥도날드,주차 하다 좋다 맥도날드,1,가수원DT점
친절,친절,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
좋아요,좋다,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
이용할때마다 주문 받으시는 뷴들이 친절하세요,이용 하다 때 마다 주문 받다 뷴들 이 친절하다,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
쿠폰으로 할인받아 먹었어요. 맛있어요!,쿠폰 으로 할인 받다 먹다 맛있다,1,가수원DT점
굳굳,굳다 굳다,1,가수원DT점
굿,굿,1,가수원DT점
"매니저님 친절
굿",매니저 님 친절 굿,1,가수원DT점
