content,date,지점명,YearMonth
버거가 맛있고  쉐이크가  있어요^^,2023-10-01,유성DT점,2023-10
맛있어요!,2023-10-01,유성DT점,2023-10
모닝 치킨스냅랩!,2023-10-01,유성DT점,2023-10
맥날 체고,2023-10-01,유성DT점,2023-10
키오스크 너무 적어서 아쉬워요,2023-10-01,유성DT점,2023-10
편리해요,2023-10-01,유성DT점,2023-10
ㅎㅎ,2023-10-01,유성DT점,2023-10
좋아요,2023-10-01,유성DT점,2023-10
직원들 친절하세요🙂,2023-10-01,유성DT점,2023-10
귯,2023-10-01,유성DT점,2023-10
굿,2023-10-01,유성DT점,2023-10
운동갔다 뇸뇸 맛있어요☺️🤍🤍🤍,2023-10-01,유성DT점,2023-10
굳굳,2023-10-01,유성DT점,2023-10
주차공간이 있긴한데 타이밍 안맞으면 드라이브 쓰루 들어오는 차 때문에 막혀서 나가기 힘들어요.. 에그 불고기 버거는 간단하게 먹고 싶은 아침에 먹기 좋은 메뉴에요! 데리야끼 소스가 맛있어서 애들도 잘 먹을 맛이에요~ 맛있어용,2023-10-01,유성DT점,2023-10
"항상 잘 이용하고 있어요. 
이용 고객이 많아서 그런지 매장이 청결하진 않아요",2023-10-01,유성DT점,2023-10
"귀가전 출출해서 방문~
#스낵랩류 #봉명동",2023-10-01,유성DT점,2023-10
굿,2023-10-01,유성DT점,2023-10
"진도대파크로켓 세트 먹었어요~
크로켓이랑 고기패티 들어있고 많이 느끼하거나 그렇진 않아요 ㅎㅎ",2023-10-01,유성DT점,2023-10
아침엔 역시 맥모닝이쥬😍🖤🤎💛,2023-10-01,유성DT점,2023-10
DT길이 조금 불편하지만 유성온천역 근처에서 맥도날드 DT 먹고 싶을 때마다 이용하고 있습니다 :),2023-10-01,유성DT점,2023-10
좋아요,2023-09-01,유성DT점,2023-09
굿,2023-09-01,유성DT점,2023-09
ㅎㅎ,2023-09-01,유성DT점,2023-09
좋아요,2023-09-01,유성DT점,2023-09
좋아요,2023-09-01,유성DT점,2023-09
명절이라 그런지 가족끼리 많이 오셨네요. 우리도6명 ! 명절음식에 약간 물린느낌도 있고 해서요 군인들도 보이구요 ㅎㅎ,2023-09-01,유성DT점,2023-09
가성비굿굿~~,2023-09-01,유성DT점,2023-09
굿,2023-09-01,유성DT점,2023-09
맛있어요,2023-09-01,유성DT점,2023-09
굳,2023-09-01,유성DT점,2023-09
해시브라운 맛있..,2023-09-01,유성DT점,2023-09
맛있어요 ,2023-09-01,유성DT점,2023-09
"치즈버거 라지세트랑 슈림프 스낵랩 그리고 바닐라선데이 아이스크림으로 후식까지~
조금 아쉬운 부분은 적립 이야기 안해주셔서 몰랐네요",2023-09-01,유성DT점,2023-09
커피도 맛있어요,2023-09-01,유성DT점,2023-09
"맥날 무엇을 주문하든 항상 맛있어요 👍
양도 많고 어플다운받으면 쿠폰도 많이줘서 좋아요",2023-09-01,유성DT점,2023-09
"아메리카노 디카페인 !!
디카페인 옵션 있어서 좋아요 텀블러가져가면 200원인해 주십니다.",2023-09-01,유성DT점,2023-09
굳,2023-09-01,유성DT점,2023-09
노,2023-09-01,유성DT점,2023-09
굿,2023-09-01,유성DT점,2023-09
맥도날드 사랑해요,2023-09-01,유성DT점,2023-09
소프트콘 최고,2023-09-01,유성DT점,2023-09
맛있어요,2023-09-01,유성DT점,2023-09
ㄱㄱ,2023-09-01,유성DT점,2023-09
맛있어요,2023-09-01,유성DT점,2023-09
좋아요,2023-09-01,유성DT점,2023-09
매크도나르도,2023-09-01,유성DT점,2023-09
맥도날드 최고죠,2023-09-01,유성DT점,2023-09
맛있어요,2023-09-01,유성DT점,2023-09
아침메뉴로 딱이에요😎🖤💛,2023-09-01,유성DT점,2023-09
굳,2023-09-01,유성DT점,2023-09
편리하고 굿,2023-09-01,유성DT점,2023-09
가성비좋아요,2023-09-01,유성DT점,2023-09
아침일찍 커피 마실 수 있는 곳은 여기 밖에 없어요!!!^^,2023-09-01,유성DT점,2023-09
좋아요,2023-09-01,유성DT점,2023-09
"아침 일찍 출근하면서 커피한잔, 너무 좋아요``````",2023-09-01,유성DT점,2023-09
좋아요,2023-09-01,유성DT점,2023-09
맥모닝 짱,2023-09-01,유성DT점,2023-09
