better,count,지점명
"""음식이 맛있어요""",2147,유성DT점
"""가성비가 좋아요""",1043,유성DT점
"""혼밥하기 좋아요""",871,유성DT점
"""친절해요""",691,유성DT점
"""매장이 넓어요""",573,유성DT점
"""재료가 신선해요""",521,유성DT점
"""특별한 메뉴가 있어요""",434,유성DT점
"""매장이 청결해요""",381,유성DT점
"""주차하기 편해요""",337,유성DT점
"""양이 많아요""",260,유성DT점
"""화장실이 깨끗해요""",147,유성DT점
"""인테리어가 멋져요""",108,유성DT점
"""특별한 날 가기 좋아요""",68,유성DT점
"""단체모임 하기 좋아요""",64,유성DT점
"""뷰가 좋아요""",63,유성DT점
"""음식이 빨리 나와요""",7,유성DT점
"""좌석이 편해요""",2,유성DT점
"""아이와 가기 좋아요""",2,유성DT점
"""포장이 깔끔해요""",2,유성DT점
"""커피가 맛있어요""",1,유성DT점
"""디저트가 맛있어요""",1,유성DT점
"""음료가 맛있어요""",1,유성DT점
"""음악이 좋아요""",1,유성DT점
"""오래 머무르기 좋아요""",1,유성DT점
"""집중하기 좋아요""",1,유성DT점
"""대화하기 좋아요""",1,유성DT점
"""음식이 맛있어요""",1297,카이스트점
"""가성비가 좋아요""",617,카이스트점
"""주차하기 편해요""",557,카이스트점
"""혼밥하기 좋아요""",460,카이스트점
"""친절해요""",390,카이스트점
"""매장이 넓어요""",378,카이스트점
"""재료가 신선해요""",231,카이스트점
"""매장이 청결해요""",220,카이스트점
"""특별한 메뉴가 있어요""",185,카이스트점
"""양이 많아요""",95,카이스트점
"""화장실이 깨끗해요""",70,카이스트점
"""뷰가 좋아요""",53,카이스트점
"""인테리어가 멋져요""",52,카이스트점
"""단체모임 하기 좋아요""",50,카이스트점
"""특별한 날 가기 좋아요""",25,카이스트점
"""음식이 빨리 나와요""",5,카이스트점
"""아이와 가기 좋아요""",2,카이스트점
"""좌석이 편해요""",1,카이스트점
"""컨셉이 독특해요""",1,카이스트점
"""메뉴 구성이 알차요""",1,카이스트점
"""포장이 깔끔해요""",1,카이스트점
"""대화하기 좋아요""",1,카이스트점
"""음식이 맛있어요""",1862,가수원DT점
"""주차하기 편해요""",1003,가수원DT점
"""매장이 넓어요""",856,가수원DT점
"""가성비가 좋아요""",854,가수원DT점
